sepal_length,sepal_width,petal_length,petal_width,species,sepal_ratio,petal_area
5.1,3.5,1.4,0.2,setosa,1.457,0.28
4.9,3.0,1.4,0.2,versicolor,1.633,0.28
4.7,3.2,1.3,0.2,setosa,1.469,0.26
4.6,3.1,1.5,0.2,setosa,1.484,0.3
5.0,3.6,1.4,0.2,setosa,1.389,0.28
5.4,3.9,1.7,0.4,setosa,1.385,0.68
4.6,3.4,1.4,0.3,setosa,1.353,0.42
5.0,3.4,1.5,0.2,setosa,1.471,0.3
4.4,2.9,1.4,0.2,setosa,1.517,0.28
4.9,3.1,1.5,0.1,setosa,1.581,0.15
5.4,3.7,1.5,0.2,setosa,1.459,0.3
4.8,3.4,1.6,0.2,setosa,1.412,0.32
4.8,3.0,1.4,0.1,setosa,1.6,0.14
4.3,3.0,1.1,0.1,setosa,1.433,0.11
5.8,4.0,1.2,0.2,setosa,1.45,0.24
5.7,4.4,1.5,0.4,setosa,1.295,0.6
5.4,3.9,1.3,0.4,setosa,1.385,0.52
5.1,3.5,1.4,0.3,setosa,1.457,0.42
5.8,3.8,1.7,0.3,setosa,1.526,0.51
5.1,3.8,1.5,0.3,setosa,1.342,0.45
5.4,3.0,1.7,0.2,setosa,1.8,0.34
5.1,3.7,1.5,0.4,setosa,1.378,0.6
4.6,3.6,1.0,0.2,setosa,1.278,0.2
5.1,3.3,1.7,0.5,setosa,1.545,0.85
4.8,3.4,1.9,0.2,setosa,1.412,0.38
5.0,3.0,1.6,0.2,setosa,1.667,0.32
5.0,3.4,1.6,0.4,setosa,1.471,0.64
5.2,3.5,1.5,0.2,setosa,1.486,0.3
5.2,3.4,1.4,0.2,setosa,1.529,0.28
4.7,3.2,1.6,0.2,setosa,1.469,0.32
4.8,3.1,1.6,0.2,setosa,1.548,0.32
5.4,3.4,1.5,0.4,setosa,1.588,0.6
5.2,4.1,1.5,0.1,setosa,1.268,0.15
5.5,4.2,1.4,0.2,setosa,1.31,0.28
5.0,3.2,1.2,0.2,setosa,1.562,0.24
5.5,3.5,1.3,0.2,setosa,1.571,0.26
4.4,3.0,1.3,0.2,setosa,1.467,0.26
5.1,3.4,1.5,0.2,setosa,1.5,0.3
5.0,3.5,1.3,0.3,setosa,1.429,0.39
4.5,2.3,1.3,0.3,setosa,1.957,0.39
4.4,3.2,1.3,0.2,setosa,1.375,0.26
5.0,3.5,1.6,0.6,setosa,1.429,0.96
5.1,3.8,1.9,0.4,setosa,1.342,0.76
4.8,3.0,1.4,0.3,setosa,1.6,0.42
5.1,3.8,1.6,0.2,setosa,1.342,0.32
4.6,3.2,1.4,0.2,setosa,1.437,0.28
5.3,3.7,1.5,0.2,setosa,1.432,0.3
5.0,3.3,1.4,0.2,setosa,1.515,0.28
7.0,3.2,4.7,1.4,versicolor,2.188,6.58
6.4,3.2,4.5,1.5,versicolor,2.0,6.75
6.9,3.1,4.9,1.5,versicolor,2.226,7.35
5.5,2.3,4.0,1.3,versicolor,2.391,5.2
6.5,2.8,4.35,1.5,versicolor,2.321,6.525
5.7,2.8,4.5,1.3,versicolor,2.036,5.85
6.3,3.3,4.7,1.6,versicolor,1.909,7.52
4.9,2.4,3.3,1.0,versicolor,2.042,3.3
6.6,2.9,4.6,1.3,versicolor,2.276,5.98
5.2,2.7,3.9,1.4,versicolor,1.926,5.46
5.0,2.0,3.5,1.0,versicolor,2.5,3.5
5.9,3.0,4.2,1.5,versicolor,1.967,6.3
6.0,2.2,4.0,1.0,versicolor,2.727,4.0
6.1,2.9,4.7,1.4,versicolor,2.103,6.58
5.6,2.9,3.6,1.3,versicolor,1.931,4.68
6.7,3.1,4.4,1.4,versicolor,2.161,6.16
5.6,3.0,4.5,1.5,versicolor,1.867,6.75
5.8,2.7,4.1,1.0,versicolor,2.148,4.1
6.2,2.2,4.5,1.5,versicolor,2.818,6.75
5.6,2.5,3.9,1.1,versicolor,2.24,4.29
5.9,3.2,4.8,1.8,versicolor,1.844,8.64
6.1,2.8,4.35,1.3,versicolor,2.179,5.655
6.3,2.5,4.9,1.5,versicolor,2.52,7.35
5.8,2.8,4.7,1.2,versicolor,2.071,5.64
6.4,2.9,4.3,1.3,versicolor,2.207,5.59
6.6,3.0,4.4,1.4,versicolor,2.2,6.16
6.8,2.8,4.8,1.4,versicolor,2.429,6.72
6.7,3.0,5.0,1.7,versicolor,2.233,8.5
6.0,2.9,4.5,1.5,versicolor,2.069,6.75
5.7,2.6,3.5,1.0,versicolor,2.192,3.5
5.5,2.4,3.8,1.1,versicolor,2.292,4.18
5.5,2.4,3.7,1.0,versicolor,2.292,3.7
5.8,2.7,3.9,1.2,versicolor,2.148,4.68
6.0,2.7,5.1,1.6,versicolor,2.222,8.16
5.4,3.0,4.5,1.5,versicolor,1.8,6.75
6.0,3.4,4.5,1.6,versicolor,1.765,7.2
6.7,3.1,4.7,1.5,versicolor,2.161,7.05
6.3,2.3,4.4,1.3,versicolor,2.739,5.72
5.6,3.0,4.1,1.3,versicolor,1.867,5.33
5.5,2.5,4.0,1.3,versicolor,2.2,5.2
5.5,2.6,4.4,1.2,versicolor,2.115,5.28
6.1,3.0,4.6,1.4,versicolor,2.033,6.44
5.8,2.6,4.0,1.2,versicolor,2.231,4.8
5.0,2.3,3.3,1.0,versicolor,2.174,3.3
5.6,2.7,4.2,1.3,versicolor,2.074,5.46
5.7,3.0,4.2,1.2,versicolor,1.9,5.04
5.7,2.9,4.2,1.3,versicolor,1.966,5.46
6.2,2.9,4.3,1.3,versicolor,2.138,5.59
5.1,2.5,3.0,1.1,versicolor,2.04,3.3
5.7,2.8,4.1,1.3,versicolor,2.036,5.33
6.3,3.3,6.0,2.5,virginica,1.909,15.0
5.8,2.7,5.1,1.9,virginica,2.148,9.69
7.1,3.0,5.9,2.1,virginica,2.367,12.39
6.3,2.9,5.6,1.8,virginica,2.172,10.08
6.5,3.0,5.8,2.2,virginica,2.167,12.76
7.6,3.0,6.6,2.1,virginica,2.533,13.86
4.9,2.5,4.5,1.7,virginica,1.96,7.65
7.3,2.9,6.3,1.8,virginica,2.517,11.34
6.7,2.5,5.8,1.8,virginica,2.68,10.44
7.2,3.6,6.1,2.5,virginica,2.0,15.25
